textWords,characterName,ID,animation,resource
「坊主、人形たちに搭載されている人工知能について教えてやる」,人形屋,1,0,0
「ニューラルネットワークという人間の脳を模したものが使われている」,人形屋,1,0,0
「ニューラルネットワークについて詳しく説明する前に、」,人形屋,1,0,0
「その起源であるパーセプトロンについて教えよう」,人形屋,1,0,0
「パーセプトロンは神経細胞を模式的に再現したもので、」,人形屋,1,1,t_story1_1
「いくつかの入力口から信号を受け取り、」,人形屋,1,1,t_story1_2
「信号1つを出力するというシンプルな働きをするものだ」,人形屋,1,1,t_story1_3
「信号はどの入力口から入ってくるかによって重要度が異なる。それを学習させるわけだ」,人形屋,1,0,0
「人間の脳がやってることも同じような感じだな」,人形屋,1,0,0
「もちろん、パーセプトロン1つでは複雑な問題には対応できない」,人形屋,1,0,0
「だが、人間の脳は神経細胞が複雑に構成されている」,人形屋,1,0,0
「それと同じようにパーセプトロンを何重にも重ねたらどうなる？」,人形屋,1,1,t_story1_4
「パーセプトロンでは解けなかった難しい問題でも学習し、正しく回答できるようになる訳だ」,人形屋,1,2,t_story1_5
「ニューラルネットワークの仕組みはこんな感じだ」,人形屋,1,0,0
